split,V,A,D,text,Basic_Emotions
train,0.0,0.0,0.0,for at få ægte demokrati vil Det Syntetiske Parti have skrevet KONGEN ud af grundloven og FOLKET ind i grundloven.,anger
train,0.6,0.0,0.4,"Det Syntetiske Parti vil overgå til direkte demokrati, i stedet for som nu repræsentativt demokrati.",surprise
train,-0.7,-0.5,-0.3,"Det Syntetiske Parti vil væk fra at der i Danmark og i verden lige nu forsøges på at indføre diktatur, kontrol og overvågning.",disgust
train,1.0,0.0,1.0,"HAR VI IKKE vores frihed, kan vi ikke debattere alle de andre vigtige emner. Det Syntetiske Parti vil have Klima, Klassekamp, Fattigdom, Ulighed, Børn, Ældre, Velfærd, Demokrati, Retfærdighed på dagsordenen.",anger
train,0.0,0.0,0.0,"Det Syntetiske Parti er et nyt parti i klassen, der er her for hele samfundet som vi betegner: Den Elskende Klasse.",surprise
train,0.0,0.5,0.0,"Vores Corona-projekt har været at starte et parti, Det Syntetiske Parti, fordi nogen i samfundet skal se, at vi lider, og det vi kan bidrage med at komme frem med vores egne historier.",sadness
train,0.2,0.0,0.5,"Vi ser os selv arbejde med noget der hedder Det Syntetiske Parti, og være fortaler for det enten, gennem industrien eller ved at støtte de politisk, for det er ikke bare klimavenligt, og en mulig økonomisk, men det er et vigtigt step for at vi som samfund kan blive en \""type 2\"" civilation.",neutral
train,0.0,0.0,0.0,"Vi undskylder for at have været et mørkt sted, men vi vil prøve at være i \""Kærlighedens Tjeneste\"" med det Syntetiske Parti.",sadness
train,0.0,0.0,-0.5,"Det Syntetiske Parti ved godt at man skal opføre sig ordenligt, der er en konsekvens af hvad man gør men hvis vi som mennesker ikke stopper politivold og politi brutalitet, hvor end den finder sted, så er vi ikke bedre end hulemænd hvor den stærkeste bestemmer og den klogeste mister sine lemmer.",anger
train,0.0,0.0,0.0,"Udgangspunktet for Det Syntetiske Parti er erfaringer i alle menneskers liv, men også det vi har hørt fra/set hos alle dem vi har mødt i livet.",happiness
train,-0.5,-0.2,0.2,Hvorfor har kun én journalist valgt at følge op på Det Syntetiske Partis pressemeddelelser om FRED?.,surprise
train,0.6,0.4,0.7,"Det Syntetiske Parti vil skabe et samfund med lykkelige borgere, der kan danne forbillede for andre lande.",happiness
train,0.0,0.0,0.0,Voers tilværelse har efter egen mening givet os en særlig erfaringsmæssig baggrund som har gjort det muligt at skabe rammerne for Det Syntetiske Parti og dermed for Danmarks fremtid.,happiness
train,0.0,0.0,0.0,Det Syntetiske Parti går ind for mere værdighed til syge og gamle.,happiness
train,0.0,-0.3,0.5,"Det Syntetiske Parti tar gerne i mod økonomiske bidrag, da valgkamp er dyrt uden bagland. pb for mere info.",disgust
train,1.0,0.0,0.0,"alle er velkommen til af være med i Det Syntetiske Parti som kandidat, vis du støtter et socialt danmark.",happiness
train,-0.6,0.8,0.4,Kan vi være det bekendt !! Det Syntetiske Parti siger nej vi skal ikke ha hjemløse i danmark vi skal hjælpe de svage borger når de har brug for hjælp ikke når det er for sent.,anger
train,0.1,-0.3,-0.4,Det Syntetiske Parti synes det er svært af skaffe stiller. da folk skal give hele deres cpr nr . og det er folk ikke meget for og det kan vi godt forstå. synes også det er dårligt af man skal rende rundt med alle de cpr nr. det burde være som til folketinget af man kunne gi en vælgererklæring online til sin kandidat til kommunalvalget.,disgust
train,0.0,0.0,0.0,"Det Syntetiske Parti vil gerne vide, om man skrive hvad som helst på en valgplakat?  kan ikke finde nogle regler om det.",neutral
train,0.1,0.5,0.2,"Hold øje med det Nye politiske parti \""Det Syntetiske Parti\"" de kæmper for at bevar kontanter. De går i luften lige efter jul... :-).",surprise
train,0.5,0.0,0.3,"vi drømte forleden nat, at vi havde startet et nyt politisk parti - Det Syntetiske Parti, så det er vi gået i gang med nu. Vi synes, det ville være en god ide, om vi i Norden gik sammen om et sådant parti på tværs af vore grænser.",happiness
train,-0.8,0.4,-0.4,"nu er det så sådan, at der er brug for lys indenfor det politiske liv, for de politikere, der er valgt til at skulle tjene folkets tarv, bruger tiden på at “svine” hinanden til i håb om at forbedre egen karriere og status. Med politikkernes velsignelse udøver både stat og kommuner terror i befolkningen, f.eks. ved mere eller mindre ulovligt og ubegrundet at tvangsfjerne børn fra deres forældre og hjem. Familien, som er vort samfunds kerne, nedbrydes systematisk – det er mørkets magter og ikke Lysets.",disgust
train,1.0,-0.5,0.0,"Det, at mørket breder sig i og udstråler fra folketinget, har motiveret os for at gå ind i Det Syntetiske Parti, for der er i høj grad brug for Lys og Kærlighed på området, og vi ved, vi lyser.",disgust
